datum,hodina,joblines
2026-08-11,6,2110
2026-08-11,7,2051
2026-08-11,8,2219
2026-08-11,9,1903
2026-08-11,10,2276
2026-08-11,11,1652
2026-08-11,12,2297
2026-08-11,13,1654
2026-08-11,14,3031
2026-08-11,15,3361
2026-08-11,16,4432
2026-08-11,17,6599
2026-08-11,18,6572
2026-08-11,19,6100
2026-08-11,20,8733
2026-08-11,21,9739
2026-08-11,22,6077
2026-08-11,23,10039
2026-08-12,0,6111
2026-08-12,1,11477
2026-08-12,2,9009
2026-08-12,3,1958
2026-08-12,4,1547
2026-08-12,5,2108
2026-08-12,6,1442
2026-08-12,7,1713
2026-08-12,8,1202
2026-08-12,9,1169
2026-08-12,10,1453
2026-08-12,11,1944
2026-08-12,12,1837
2026-08-12,13,1663
2026-08-12,14,3224
2026-08-12,15,3259
2026-08-12,16,3632
2026-08-12,17,8104
2026-08-12,18,8132
2026-08-12,19,5903
2026-08-12,20,6134
2026-08-12,21,6104
2026-08-12,22,5554
2026-08-12,23,9496
2026-08-13,0,9304
2026-08-13,1,14720
2026-08-13,2,16230
2026-08-13,3,1421
2026-08-13,4,1454
2026-08-13,5,950
2026-08-13,6,980
2026-08-13,7,1280
2026-08-13,8,1147
2026-08-13,9,1395
2026-08-13,10,1599
2026-08-13,11,1398
2026-08-13,12,1297
2026-08-13,13,1683
2026-08-13,14,1858
2026-08-13,15,2964
2026-08-13,16,2783
2026-08-13,17,5650
2026-08-13,18,4608
2026-08-13,19,4371
2026-08-13,20,5416
2026-08-13,21,5205
2026-08-13,22,4975
2026-08-13,23,7281
2026-08-14,0,1925
2026-08-14,1,10941
2026-08-14,2,16702
2026-08-14,3,8055
2026-08-14,4,595
2026-08-14,5,117
2026-08-14,6,1127
2026-08-14,7,1279
2026-08-14,8,862
2026-08-14,9,747
2026-08-14,10,756
2026-08-14,11,1256
2026-08-14,12,1364
2026-08-14,13,1799
2026-08-14,14,1120
2026-08-14,15,3484
2026-08-14,16,2640
2026-08-14,17,4913
2026-08-14,18,3581
2026-08-14,19,4085
2026-08-14,20,6107
2026-08-14,21,3074
2026-08-14,22,3321
2026-08-14,23,7300
2026-08-15,0,9470
2026-08-15,1,10569
2026-08-15,2,12094
2026-08-15,3,3500
2026-08-15,4,213
2026-08-15,5,551
2026-08-15,6,696
2026-08-15,7,786
2026-08-15,8,1126
2026-08-15,9,283
2026-08-15,10,698
2026-08-15,11,718
2026-08-15,12,1051
2026-08-15,13,1212
2026-08-15,14,1902
2026-08-15,15,2130
2026-08-15,16,2230
2026-08-15,17,4680
2026-08-15,18,4328
2026-08-15,19,4899
2026-08-15,20,4915
2026-08-15,21,3406
2026-08-15,22,6379
2026-08-15,23,9893
2026-08-16,0,10915
2026-08-16,1,13023
2026-08-16,2,13302
2026-08-16,3,4218
2026-08-16,4,520
2026-08-16,5,580
2026-08-16,6,1780
2026-08-16,7,2397
2026-08-16,8,1722
2026-08-16,9,1121
2026-08-16,10,1997
2026-08-16,11,2086
2026-08-16,12,2147
2026-08-16,13,1537
2026-08-16,14,3585
2026-08-16,15,1660
2026-08-16,16,3247
2026-08-16,17,8992
2026-08-16,18,5400
2026-08-16,19,4896
2026-08-16,20,8276
2026-08-16,21,6273
2026-08-16,22,6408
2026-08-16,23,8746
2026-08-17,0,8220
2026-08-17,1,9950
2026-08-17,2,18929
2026-08-17,3,7135
2026-08-17,4,465
2026-08-17,5,833
2026-08-17,6,2090
2026-08-17,7,1611
2026-08-17,8,1412
2026-08-17,9,1332
2026-08-17,10,1393
2026-08-17,11,2635
2026-08-17,12,2384
2026-08-17,13,2161
2026-08-17,14,4621
2026-08-17,15,958
2026-08-17,16,1696
2026-08-17,17,5063
2026-08-17,18,7956
2026-08-17,19,7983
2026-08-17,20,8107
2026-08-17,21,7411
2026-08-17,22,8078
2026-08-17,23,12827
2026-08-18,0,8988
2026-08-18,1,8506
2026-08-18,2,16975
2026-08-18,3,1731
2026-08-18,4,1160
2026-08-18,5,1484
2026-08-18,6,1729
2026-08-18,7,1298
2026-08-18,8,1722
2026-08-18,9,1011
2026-08-18,10,1538
2026-08-18,11,2135
2026-08-18,12,784
