datum,hodina,joblines,poznamka,zdroj,anomalia
2026-08-25,,100016,,triedenie,
2026-08-24,,115103,,triedenie,
2026-08-23,,88721,,triedenie,
2026-08-26,6,1826,,triedenie,
2026-08-26,7,835,,triedenie,
2026-08-26,8,1306,,triedenie,
2026-08-26,9,874,,triedenie,
2026-08-26,10,1526,,triedenie,
2026-08-26,11,1832,,triedenie,
2026-08-26,12,1755,,triedenie,
2026-08-26,13,1853,,triedenie,
2026-08-26,14,3724,,triedenie,
2026-08-26,15,685,,triedenie,
2026-08-26,16,1447,,triedenie,
2026-08-26,17,2696,,triedenie,
2026-08-26,18,5682,,triedenie,
2026-08-26,19,6575,,triedenie,
2026-08-26,20,5387,,triedenie,
2026-08-26,21,4434,,triedenie,
2026-08-26,22,4768,,triedenie,
2026-08-26,23,9441,,triedenie,
2026-08-26,0,7144,,triedenie,
2026-08-26,1,8581,,triedenie,
2026-08-26,2,13251,,triedenie,
2026-08-26,3,5904,,triedenie,
2026-08-26,4,690,,triedenie,
2026-08-26,5,1077,,triedenie,
2026-08-27,6,1086,,triedenie,
2026-08-27,7,1404,,triedenie,
2026-08-27,8,1431,,triedenie,
2026-08-27,9,1133,,triedenie,
2026-08-27,10,550,,triedenie,
2026-08-27,11,1423,,triedenie,
2026-08-27,12,1316,,triedenie,
2026-08-27,13,2272,,triedenie,
2026-08-27,14,3561,,triedenie,
2026-08-27,15,1236,,triedenie,
2026-08-27,16,548,,triedenie,
2026-08-27,17,3386,,triedenie,
2026-08-27,18,6977,,triedenie,
2026-08-27,19,5354,,triedenie,
2026-08-27,20,6215,,triedenie,
2026-08-27,21,5427,,triedenie,
2026-08-27,22,3535,,triedenie,
2026-08-27,23,6728,,triedenie,
2026-08-27,0,8035,,triedenie,
2026-08-27,1,9050,,triedenie,
2026-08-27,2,13006,,triedenie,
2026-08-27,3,5698,,triedenie,
2026-08-27,4,630,,triedenie,
2026-08-27,5,357,,triedenie,
